id,call_sign,code,name,country_name
1154,VUELING,VY,Vueling Airlines,Spain
1155,VLADAIR,XF,Vladivostok Air,Russia
1156,VELOG,LC,Varig Logistica,Brazil
1157,VIAGGIO,VM,Viaggio Air,Bulgaria
1158,VIAIR,9V,Vipair Airlines,Kazakhstan
1159,VARIG,RG,VRG Linhas Areas,Brazil
1160,Viva Air Colombia,VH,Viva Air Colombia,Colombia
1161,VASP,VP,VASP,Brazil
1162,VOLOTEA,V7,Volotea,Spain
1163,RUBENS,VG,VLM Airlines,Belgium
1164,GOUMRAK,G6,Air Volga,Russia
1165,Vistara,UK,Vistara,India
1166,WDL,WD,WDL Aviation,Germany
1167,WASAYA,WT,Wasaya Airways,Canada
1168,WEB-BRASIL,WH,WebJet Linhas Areas,Brazil
1169,WELCOMEAIR,2W,Welcome Air,Austria
1170,AIR SWEDEN,PT,West Air Sweden,Sweden
1171,WEST,YH,West Caribbean Airways,Colombia
1172,COAST AIR,8O,West Coast Air,Canada
1173,WESTJET,WS,WestJet,Canada
1174,RUBY MOUNTAIN,XP,Western,United States
1175,WESTERN,WA,Western Airlines,United States
1176,KOMSTAR,W7,Western Pacific Airlines,United States
1177,WESTWARD,CN,Westward Airways,United States
1178,WIDEROE,WF,Widere,Norway
1179,GHIBLI,IV,Wind Jet,Italy
1180,QUADRIGA,7W,Windrose Air,Germany
1181,WINGS ABADI,IW,Wings Air,Indonesia
1182,WIZZBUL,8Z,Wizz Air Bulgaria,Bulgaria
1183,WIZZAIR,W6,Wizz Air,Hungary
1184,WIZZ GO,W9,Wizz Air UK,United Kingdom
1185,WORLD,WO,World Airways,United States
1186,SILKITALIA,UI,SW Italia,Italy
1187,WOW air,WW,WOW air,Iceland
1188,WRIGHT FLYER,8V,Wright Air Service,United States
1189,WATANIYA,KW,Wataniya Airways,Kuwait
1190,WANAIR,3W,Wan Air,French Polynesia
1191,ENCORE,WR,WestJet Encore,Canada
1192,TUNISIA CARGO,7A,Express Air Cargo,Tunisia
1193,XIAMEN AIR,MF,Xiamen Airlines,China
1194,STARWAY,SE,XL Airways France,France
1195,CASINO EXPRESS,XP,Xtra Airways,United States
1196,YAMAL,YL,Yamal Airlines,Russia
1197,YANGTZE RIVER,Y8,Yangtze River Express,China
1198,YEMENI,IY,Yemenia,Yemen
1199,YETI AIRLINES,YT,Yeti Airlines,Nepal
1200,YUZMASH,2N,Yuzhmashavia,Ukraine
1201,ZAMBIANA,Q3,Zambian Airways,Zambia
1202,ZIPPER,3J,Zip,Canada
1203,ZOOM,Z4,Zoom Airlines,Canada
