id,call_sign,code,name,country_name
430,COSMIC AIR,F5,Cosmic Air,Nepal
431,COYNE AIR,7C,Coyne Aviation,United Kingdom
432,CROATIA,OU,Croatia Airlines,Croatia
433,Cigogne,QE,Crossair Europe,Switzerland
434,CUBANA,CU,Cubana de Aviacicn,Cuba
435,CYPRUS,CY,Cyprus Airways,Cyprus
436,AIRKIBRIS,YK,Cyprus Turkish Airlines,Turkey
437,CSA,OK,Czech Airlines,Czechia
438,HUALONG,GJ,CDI Cargo Airlines,China
439,CEMAIR,5Z,CemAir,South Africa
440,CLICKJET,XG,Clickair,Spain
441,WEST CHINA,PN,West Air (China),China
442,VIP TAXI,V5,DanubeWings,Slovakia
443,DAIRAIR,WD,DAS Air Cargo,Uganda
444,DANISH,DX,DAT Danish Air Transport,Denmark
445,WORLD EXPRESS,D0,DHL Air Limited,United Kingdom
446,DILMUN,ES,DHL International,Bahrain
447,DALO AIRLINES,D3,Daallo Airlines,Djibouti
448,DAGAL,N2,Dagestan Airlines,Russia
449,DALAVIA,H8,Dalavia,Russia
450,DARWIN,0D,Darwin Airline,Switzerland
451,DAUAIR,D5,Dauair,Germany
452,DELTA,DL,Delta Air Lines,United States
453,DENIM,J7,Denim Air,Netherlands
454,CIVIL AIR AMBULANCE,1I,Deutsche Rettungsflugwacht,Germany
455,DIRGANTARA,AW,Dirgantara Air Service,Indonesia
456,DISCOVERY AIRWAYS,DH,Discovery Airways,United States
457,DNIEPRO,Z6,Dniproavia,Ukraine
458,DOMINAIR,YU,Dominair,Dominican Republic
459,DOMINICANA,DO,Dominicana de Aviacicn,Dominican Republic
460,DOMODEDOVO,E3,Domodedovo Airlines,Russia
461,DONAVIA,D9,Donavia,Russia
462,DONBASS AERO,5D,DonbassAero,Ukraine
463,ROYAL BHUTAN,KB,Druk Air,Bhutan
464,SPEEDWAY,DI,Dba,Germany
465,ENVOY,MQ,Envoy Air,United States
466,ELLINAIR HELLAS,EL,Ellinair,Greece
467,ENDEAVOR,9E,Endeavor Air,United States
468,EAGLEXPRESS,9A,Eagle Express Air Charter,Malaysia
469,UNION JET,VE,EUjet,Ireland
470,EVA,BR,EVA Air,Taiwan
471,FLYING EAGLE,EY,Eagle Air,Tanzania
472,AFRICAN EAGLE,H7,Eagle Air,Uganda
473,EAGLE,NZ,Eagle Airways,New Zealand
474,UT Ukraine,QU,UTair-Ukraine,Ukraine
475,DUMA,S9,East African Safari Air,Kenya
476,EASTAR,ZE,Eastar Jet,South Korea
477,EASTERN,EA,Eastern Air Lines,United States
478,EASTFLIGHT,T3,Eastern Airways,United Kingdom
479,STINGER,W9,Eastwind Airlines,United States
480,EDELWEISS,WK,Edelweiss Air,Switzerland
481,EGYPTAIR,MS,Egyptair,Egypt
482,ELAL,LY,El Al Israel Airlines,Israel
483,BURAQAIR,UZ,El-Buraq Air Transport,Libya
484,EMIRATES,EK,Emirates Airlines,United Arab Emirates
485,EMPIRE AIR,EM,Empire Airlines,United States
486,ECUATORIANA,EU,Empresa Ecuatoriana De Aviacicn,Ecuador
487,ENKOR,G8,EnkoryJSC,Russia
488,ENTER,OF,Enter Air,Poland
489,NEW DAWN,E0,Eos Airlines,United States
490,ERITREAN,B8,Eritrean Airlines,Eritrea
491,ESTONIAN,OV,Estonian Air,Estonia
492,ETHIOPIAN,ET,Ethiopian Airlines,Ethiopia
493,ETIHAD,EY,Etihad Airways,United Arab Emirates
494,EUROATLANTIC,MM,EuroAtlantic Airways,Portugal
495,EUROCYPRIA,UI,Eurocypria Airlines,Cyprus
496,E-FLY,GJ,Eurofly,Italy
497,EUROLOT,K2,Eurolot,Poland
498,EUROMANX,3W,Euromanx Airways,Austria
499,FRENCH POST,5O,Europe Airpost,France
500,STAR WING,EA,European Air Express,Germany
501,EUROTRANS,QY,European Air Transport,Belgium
502,EUROCHARTER,E7,European Aviation Air Charter,United Kingdom
503,EUROWINGS,EW,Eurowings,Germany
504,EVERGREEN,EZ,Evergreen International Airlines,United States
505,MAYOTTE AIR,ZD,Ewa Air,France
506,EXPO,JN,Excel Airways,United Kingdom
507,CANADIAN EXECAIRE,MB,Execair Aviation,Canada
508,EXECUTIVE EAGLE,OW,Executive Airlines,United States
509,LONGHORN,EO,Express One International,United States
510,EASY,U2,easyJet,United Kingdom
511,TOPSWISS,DS,easyJet Switzerland,Switzerland
512,ALPINE,EC,easyJet Europe,Austria
513,Far Eastern,FE,Far Eastern Air Transport,Taiwan
514,FLYDOC,FD,Royal Flying Doctor Service,Australia
515,ROCKROSE,F6,FaroeJet,Faroe Islands
516,FASO,F3,Faso Airways,Burkina Faso
517,FEDEX,FX,FedEx Express,United States
518,SALAAMA,N8,Fika Salaama Airlines,Uganda
519,FINALAIR CONGO,4S,Finalair Congo,Congo (Brazzaville)
520,FINNAIR,AY,Finnair,Finland
521,WESTBIRD,FC,Finncomm Airlines,Finland
522,FIREFLY,FY,Firefly,Malaysia
523,FIRST AIR,7F,First Air,Canada
524,JETSET,DP,First Choice Airways,United Kingdom
525,FISCHER,8F,Fischer Air,Czechia
526,EXPOAVIA,8D,FitsAir,Sri Lanka
527,FLIGHTLINE,B5,Flightline,United Kingdom
528,FLORIDA COASTAL,PA,Florida Coastal Airlines,United States
529,FLO WEST,RF,Florida West International Airways,United States
530,BIRDVIEW,8W,Fly All Ways,Suriname
531,FLY WORLD,F2,Fly Air,Turkey
532,GREENHEART,OJ,Fly Jamaica Airways,Jamaica
533,FLYBIRD,SH,Fly Me Sweden,Sweden
534,FAX AIR,D7,FlyAsianXpress,Malaysia
535,LITHUANIA AIR,TE,FlyLal,Lithuania
536,NORDIC,LF,FlyNordic,Sweden
537,BABOO,F7,Flybaboo,Switzerland
538,JERSEY,BE,Flybe,United Kingdom
539,GLOBESPAN,Y2,Flyglobespan,United Kingdom
540,FLY HIGH,W3,Flyhy Cargo Airlines,Thailand
541,Fly One,5F,Fly One,Moldova
542,FOUR STAR,HK,Four Star Aviationy/yFour Star Cargo,United States
543,FREEBIRD AIR,FH,Freebird Airlines,Turkey
544,FREE AIR,SJ,Freedom Air,New Zealand
545,FREEDOM,FP,Freedom Air,United States
